X,Y,Z,Bx,By,Bz
34.0,155.0,-10.0,-0.003,0.093,0.003
44.0,155.0,-10.0,-0.011,0.103,0.012
54.0,155.0,-10.0,-0.007,0.112,0.003
64.0,155.0,-10.0,-0.005,0.12300000000000001,-0.0
74.0,155.0,-10.0,0.002,0.134,-0.017
84.0,155.0,-10.0,-0.004,0.135,-0.002
94.0,155.0,-10.0,-0.002,0.13899999999999998,-0.006
104.0,155.0,-10.0,-0.011,0.133,0.005
114.0,155.0,-10.0,-0.007,0.13699999999999998,-0.01
124.0,155.0,-10.0,-0.009000000000000001,0.127,0.003
134.0,155.0,-10.0,-0.01,0.11900000000000001,0.005
144.0,155.0,-10.0,-0.002,0.11299999999999999,-0.002
154.0,155.0,-10.0,-0.0,0.10500000000000001,0.005
164.0,155.0,-10.0,0.005,0.097,-0.008
174.0,155.0,-10.0,-0.001,0.079,0.006
184.0,155.0,-10.0,-0.004,0.067,0.016
194.0,155.0,-10.0,0.004,0.058,0.005
204.0,155.0,-10.0,0.007,0.048,-0.0
214.0,155.0,-10.0,-0.0,0.034,0.014
224.0,155.0,-10.0,0.001,0.024,0.01
234.0,155.0,-10.0,0.01,0.015000000000000001,-0.0
244.0,155.0,-10.0,0.007,0.005,0.018000000000000002
254.0,155.0,-10.0,0.014,-0.002,0.003
264.0,155.0,-10.0,0.007,-0.016,0.018000000000000002
274.0,155.0,-10.0,0.015000000000000001,-0.025,0.008
284.0,155.0,-10.0,0.015000000000000001,-0.033,0.014
294.0,155.0,-10.0,0.018000000000000002,-0.043000000000000003,0.006
304.0,155.0,-10.0,0.016,-0.056,0.02
314.0,155.0,-10.0,0.023,-0.06499999999999999,0.004
324.0,155.0,-10.0,0.023,-0.076,0.008
334.0,155.0,-10.0,0.016,-0.078,0.02
344.0,155.0,-10.0,0.02,-0.077,0.01
354.0,155.0,-10.0,0.017,-0.074,0.016
364.0,155.0,-10.0,0.019,-0.077,0.016
374.0,155.0,-10.0,0.023,-0.076,0.004
