X,Y,Z,Bx,By,Bz
34.0,223.0073525436772,-78.00735254367721,-0.019,0.020999999999999998,-0.053
44.0,223.0073525436772,-78.00735254367721,-0.020999999999999998,0.032,-0.074
54.0,223.0073525436772,-78.00735254367721,-0.016,0.053,-0.1
64.0,223.0073525436772,-78.00735254367721,-0.017,0.075,-0.096
74.0,223.0073525436772,-78.00735254367721,-0.002,0.111,-0.11699999999999999
84.0,223.0073525436772,-78.00735254367721,0.005,0.14300000000000002,-0.106
94.0,223.0073525436772,-78.00735254367721,0.015000000000000001,0.17200000000000001,-0.089
104.0,223.0073525436772,-78.00735254367721,0.024,0.195,-0.064
114.0,223.0073525436772,-78.00735254367721,0.029,0.208,-0.028
124.0,223.0073525436772,-78.00735254367721,0.038,0.21800000000000003,-0.01
134.0,223.0073525436772,-78.00735254367721,0.038,0.216,0.016
144.0,223.0073525436772,-78.00735254367721,0.038,0.203,0.036000000000000004
154.0,223.0073525436772,-78.00735254367721,0.020999999999999998,0.18000000000000002,0.076
164.0,223.0073525436772,-78.00735254367721,0.014,0.159,0.089
174.0,223.0073525436772,-78.00735254367721,-0.002,0.129,0.118
184.0,223.0073525436772,-78.00735254367721,-0.0,0.116,0.087
194.0,223.0073525436772,-78.00735254367721,-0.005,0.092,0.097
204.0,223.0073525436772,-78.00735254367721,-0.009000000000000001,0.077,0.09000000000000001
214.0,223.0073525436772,-78.00735254367721,-0.006,0.064,0.078
224.0,223.0073525436772,-78.00735254367721,-0.007,0.052,0.078
234.0,223.0073525436772,-78.00735254367721,-0.0,0.041999999999999996,0.063
244.0,223.0073525436772,-78.00735254367721,0.003,0.031,0.063
254.0,223.0073525436772,-78.00735254367721,0.004,0.023,0.06499999999999999
264.0,223.0073525436772,-78.00735254367721,0.007,0.015000000000000001,0.067
274.0,223.0073525436772,-78.00735254367721,0.020999999999999998,0.008,0.044
284.0,223.0073525436772,-78.00735254367721,0.013,-0.003,0.07200000000000001
294.0,223.0073525436772,-78.00735254367721,0.007,-0.012,0.08600000000000001
304.0,223.0073525436772,-78.00735254367721,0.017,-0.017,0.076
314.0,223.0073525436772,-78.00735254367721,0.026,-0.023,0.06499999999999999
324.0,223.0073525436772,-78.00735254367721,0.027,-0.031,0.078
334.0,223.0073525436772,-78.00735254367721,0.026,-0.031,0.076
344.0,223.0073525436772,-78.00735254367721,0.025,-0.032,0.08
354.0,223.0073525436772,-78.00735254367721,0.024,-0.032,0.082
364.0,223.0073525436772,-78.00735254367721,0.032,-0.029,0.06499999999999999
374.0,223.0073525436772,-78.00735254367721,0.028,-0.031,0.07200000000000001
