X,Y,Z,Bx,By,Bz
34.0,223.0073525436772,58.007352543677214,0.011,0.020999999999999998,-0.095
44.0,223.0073525436772,58.007352543677214,0.011,0.043000000000000003,-0.131
54.0,223.0073525436772,58.007352543677214,-0.005,0.066,-0.134
64.0,223.0073525436772,58.007352543677214,-0.02,0.09899999999999999,-0.14200000000000002
74.0,223.0073525436772,58.007352543677214,-0.031,0.134,-0.14200000000000002
84.0,223.0073525436772,58.007352543677214,-0.048,0.161,-0.112
94.0,223.0073525436772,58.007352543677214,-0.057,0.188,-0.087
104.0,223.0073525436772,58.007352543677214,-0.063,0.207,-0.051
114.0,223.0073525436772,58.007352543677214,-0.06499999999999999,0.21000000000000002,-0.013
124.0,223.0073525436772,58.007352543677214,-0.058,0.211,0.016
134.0,223.0073525436772,58.007352543677214,-0.044,0.199,0.04
144.0,223.0073525436772,58.007352543677214,-0.048,0.18000000000000002,0.091
154.0,223.0073525436772,58.007352543677214,-0.032,0.158,0.108
164.0,223.0073525436772,58.007352543677214,-0.023,0.135,0.122
174.0,223.0073525436772,58.007352543677214,-0.013,0.112,0.124
184.0,223.0073525436772,58.007352543677214,-0.005,0.096,0.11
194.0,223.0073525436772,58.007352543677214,0.001,0.081,0.108
204.0,223.0073525436772,58.007352543677214,0.01,0.07200000000000001,0.089
214.0,223.0073525436772,58.007352543677214,0.008,0.056,0.093
224.0,223.0073525436772,58.007352543677214,0.003,0.043000000000000003,0.10500000000000001
234.0,223.0073525436772,58.007352543677214,0.015000000000000001,0.041,0.074
244.0,223.0073525436772,58.007352543677214,0.008,0.027,0.089
254.0,223.0073525436772,58.007352543677214,0.009000000000000001,0.014,0.093
264.0,223.0073525436772,58.007352543677214,0.007,0.006,0.097
274.0,223.0073525436772,58.007352543677214,0.01,-0.0,0.093
284.0,223.0073525436772,58.007352543677214,0.007,-0.006,0.097
294.0,223.0073525436772,58.007352543677214,0.008,-0.014,0.103
304.0,223.0073525436772,58.007352543677214,0.013,-0.023,0.095
314.0,223.0073525436772,58.007352543677214,0.012,-0.033,0.107
324.0,223.0073525436772,58.007352543677214,0.019,-0.041,0.097
334.0,223.0073525436772,58.007352543677214,0.013,-0.043000000000000003,0.112
344.0,223.0073525436772,58.007352543677214,0.013,-0.043000000000000003,0.11
354.0,223.0073525436772,58.007352543677214,0.017,-0.041999999999999996,0.103
364.0,223.0073525436772,58.007352543677214,0.013,-0.043000000000000003,0.112
374.0,223.0073525436772,58.007352543677214,0.013,-0.043000000000000003,0.11
