X,Y,Z,Bx,By,Bz
0.0,240.0446286306095,-85.0446286306095,-0.102,-0.047,-0.0
10.0,240.0446286306095,-85.0446286306095,-0.125,-0.062,0.009000000000000001
20.0,240.0446286306095,-85.0446286306095,-0.155,-0.091,0.023
30.0,240.0446286306095,-85.0446286306095,-0.134,-0.118,0.02
40.0,240.0446286306095,-85.0446286306095,-0.163,-0.157,0.05
50.0,240.0446286306095,-85.0446286306095,-0.134,-0.185,0.057
60.0,240.0446286306095,-85.0446286306095,-0.098,-0.20900000000000002,0.068
70.0,240.0446286306095,-85.0446286306095,-0.064,-0.22699999999999998,0.075
80.0,240.0446286306095,-85.0446286306095,-0.038,-0.237,0.08399999999999999
90.0,240.0446286306095,-85.0446286306095,0.018000000000000002,-0.229,0.074
100.0,240.0446286306095,-85.0446286306095,0.027,-0.222,0.081
110.0,240.0446286306095,-85.0446286306095,0.059,-0.203,0.067
120.0,240.0446286306095,-85.0446286306095,0.088,-0.183,0.055
130.0,240.0446286306095,-85.0446286306095,0.095,-0.158,0.046
140.0,240.0446286306095,-85.0446286306095,0.082,-0.13799999999999998,0.04
150.0,240.0446286306095,-85.0446286306095,0.095,-0.116,0.025
160.0,240.0446286306095,-85.0446286306095,0.08,-0.103,0.025
170.0,240.0446286306095,-85.0446286306095,0.076,-0.088,0.025
180.0,240.0446286306095,-85.0446286306095,0.06499999999999999,-0.078,0.023
190.0,240.0446286306095,-85.0446286306095,0.06499999999999999,-0.067,0.023
200.0,240.0446286306095,-85.0446286306095,0.06499999999999999,-0.055,0.020999999999999998
210.0,240.0446286306095,-85.0446286306095,0.073,-0.043000000000000003,0.017
220.0,240.0446286306095,-85.0446286306095,0.055,-0.034,0.027
230.0,240.0446286306095,-85.0446286306095,0.055,-0.026,0.026
240.0,240.0446286306095,-85.0446286306095,0.06899999999999999,-0.016,0.023
250.0,240.0446286306095,-85.0446286306095,0.05,-0.009000000000000001,0.038
260.0,240.0446286306095,-85.0446286306095,0.06899999999999999,0.003,0.031
270.0,240.0446286306095,-85.0446286306095,0.07100000000000001,0.01,0.031
280.0,240.0446286306095,-85.0446286306095,0.094,0.026,0.025
290.0,240.0446286306095,-85.0446286306095,0.063,0.030000000000000002,0.038
300.0,240.0446286306095,-85.0446286306095,0.08600000000000001,0.043000000000000003,0.031
310.0,240.0446286306095,-85.0446286306095,0.076,0.041999999999999996,0.036000000000000004
320.0,240.0446286306095,-85.0446286306095,0.063,0.039,0.038
330.0,240.0446286306095,-85.0446286306095,0.08399999999999999,0.044,0.031
340.0,240.0446286306095,-85.0446286306095,0.074,0.041,0.037
350.0,240.0446286306095,-85.0446286306095,0.06999999999999999,0.041,0.037
360.0,240.0446286306095,-85.0446286306095,0.076,0.041999999999999996,0.034
370.0,240.0446286306095,-85.0446286306095,0.10500000000000001,0.043000000000000003,0.019
