X,Y,Z,Bx,By,Bz
0.0,99.9553713693905,55.044628630609495,0.07200000000000001,-0.037,0.017
10.0,99.9553713693905,55.044628630609495,0.10500000000000001,-0.053,0.017
20.0,99.9553713693905,55.044628630609495,0.126,-0.079,0.023
30.0,99.9553713693905,55.044628630609495,0.131,-0.11699999999999999,0.041
40.0,99.9553713693905,55.044628630609495,0.127,-0.157,0.056
50.0,99.9553713693905,55.044628630609495,0.089,-0.194,0.076
60.0,99.9553713693905,55.044628630609495,0.07200000000000001,-0.221,0.082
70.0,99.9553713693905,55.044628630609495,0.037,-0.23900000000000002,0.088
80.0,99.9553713693905,55.044628630609495,-0.004,-0.25,0.088
90.0,99.9553713693905,55.044628630609495,-0.034,-0.244,0.079
100.0,99.9553713693905,55.044628630609495,-0.062,-0.228,0.06899999999999999
110.0,99.9553713693905,55.044628630609495,-0.1,-0.212,0.063
120.0,99.9553713693905,55.044628630609495,-0.115,-0.186,0.05
130.0,99.9553713693905,55.044628630609495,-0.132,-0.161,0.041
140.0,99.9553713693905,55.044628630609495,-0.132,-0.13799999999999998,0.028
150.0,99.9553713693905,55.044628630609495,-0.127,-0.116,0.020999999999999998
160.0,99.9553713693905,55.044628630609495,-0.121,-0.102,0.022
170.0,99.9553713693905,55.044628630609495,-0.11299999999999999,-0.09000000000000001,0.017
180.0,99.9553713693905,55.044628630609495,-0.11,-0.076,0.015000000000000001
190.0,99.9553713693905,55.044628630609495,-0.094,-0.063,0.009000000000000001
200.0,99.9553713693905,55.044628630609495,-0.104,-0.055,0.019
210.0,99.9553713693905,55.044628630609495,-0.095,-0.041999999999999996,0.017
220.0,99.9553713693905,55.044628630609495,-0.093,-0.032,0.017
230.0,99.9553713693905,55.044628630609495,-0.093,-0.025,0.019
240.0,99.9553713693905,55.044628630609495,-0.089,-0.017,0.020999999999999998
250.0,99.9553713693905,55.044628630609495,-0.087,-0.005,0.019
260.0,99.9553713693905,55.044628630609495,-0.093,0.005,0.023
270.0,99.9553713693905,55.044628630609495,-0.104,0.01,0.032
280.0,99.9553713693905,55.044628630609495,-0.102,0.022,0.026
290.0,99.9553713693905,55.044628630609495,-0.104,0.034,0.02
300.0,99.9553713693905,55.044628630609495,-0.115,0.044,0.023
310.0,99.9553713693905,55.044628630609495,-0.121,0.043000000000000003,0.026
320.0,99.9553713693905,55.044628630609495,-0.108,0.046,0.018000000000000002
330.0,99.9553713693905,55.044628630609495,-0.11,0.045000000000000005,0.02
340.0,99.9553713693905,55.044628630609495,-0.102,0.046,0.020999999999999998
350.0,99.9553713693905,55.044628630609495,-0.106,0.045000000000000005,0.02
360.0,99.9553713693905,55.044628630609495,-0.114,0.048,0.022
370.0,99.9553713693905,55.044628630609495,-0.11900000000000001,0.043000000000000003,0.025
