R,Bx,By,Bz
-95.0387930057036,0.185,-0.182,-0.008
-85.98747938611278,0.17300000000000001,-0.164,-0.006
-76.93616576652195,0.158,-0.14400000000000002,-0.011
-67.88485214693114,0.148,-0.12300000000000001,-0.025
-58.83353852734032,0.124,-0.108,-0.002
-49.78222490774951,0.112,-0.089,-0.01
-40.730911288158694,0.095,-0.075,-0.006
-31.679597668567865,0.085,-0.054,-0.017
-22.62828404897705,0.074,-0.032,-0.020999999999999998
-13.576970429386236,0.056,-0.018000000000000002,-0.011
-4.525656809795407,0.034999999999999996,-0.005,-0.006
4.525656809795407,0.022,0.014,-0.011
13.576970429386222,0.006,0.032,-0.01
22.628284048977036,-0.008,0.05,-0.01
31.67959766856785,-0.029,0.066,0.003
40.730911288158666,-0.036000000000000004,0.083,-0.002
49.78222490774948,-0.049,0.102,-0.008
58.83353852734032,-0.06999999999999999,0.11900000000000001,-0.002
67.88485214693114,-0.083,0.13699999999999998,0.001
76.93616576652195,-0.102,0.156,-0.0
85.98747938611277,-0.112,0.175,-0.002
95.03879300570358,-0.124,0.194,-0.01
