R,Bx,By,Bz
-95.0387930057036,-0.014,-0.211,-0.004
-85.98747938611278,-0.007,-0.188,-0.011
-76.93616576652195,-0.002,-0.165,-0.015000000000000001
-67.88485214693114,0.003,-0.146,-0.015000000000000001
-58.83353852734032,0.007,-0.125,-0.011
-49.78222490774951,0.006,-0.107,-0.01
-40.730911288158694,0.008,-0.08600000000000001,-0.006
-31.679597668567865,0.015000000000000001,-0.062,-0.013
-22.62828404897705,0.017,-0.045000000000000005,-0.01
-13.576970429386236,0.02,-0.023,-0.006
-4.525656809795407,0.029,-0.004,-0.01
4.525656809795407,0.028,0.017,-0.008
13.576970429386222,0.041,0.037,-0.019
22.628284048977036,0.034999999999999996,0.057,-0.002
31.67959766856785,0.041999999999999996,0.077,-0.01
40.730911288158666,0.044,0.097,0.001
49.78222490774948,0.054,0.116,-0.002
58.83353852734032,0.067,0.14200000000000002,-0.023
67.88485214693114,0.056,0.154,0.009000000000000001
76.93616576652195,0.07100000000000001,0.18100000000000002,-0.015000000000000001
85.98747938611277,0.06499999999999999,0.195,0.005
95.03879300570358,0.073,0.219,-0.004
