R,Bx,By,Bz
-95.0387930057036,0.299,-0.041,-0.015000000000000001
-85.98747938611278,0.27599999999999997,-0.037,-0.015000000000000001
-76.93616576652195,0.248,-0.034,-0.008
-67.88485214693114,0.219,-0.031,-0.006
-58.83353852734032,0.196,-0.022,-0.015000000000000001
-49.78222490774951,0.174,-0.018000000000000002,-0.015000000000000001
-40.730911288158694,0.145,-0.016,-0.006
-31.679597668567865,0.118,-0.008,-0.006
-22.62828404897705,0.09899999999999999,-0.002,-0.023
-13.576970429386236,0.06999999999999999,-0.0,-0.017
-4.525656809795407,0.038,0.005,-0.004
4.525656809795407,0.017,0.01,-0.01
13.576970429386222,-0.008,0.013,-0.006
22.628284048977036,-0.028,0.019,-0.015000000000000001
31.67959766856785,-0.060000000000000005,0.02,-0.0
40.730911288158666,-0.088,0.028,-0.0
49.78222490774948,-0.10900000000000001,0.032,-0.004
58.83353852734032,-0.14100000000000001,0.034,0.003
67.88485214693114,-0.163,0.039,-0.002
76.93616576652195,-0.185,0.049,-0.014
85.98747938611277,-0.214,0.049,0.001
95.03879300570358,-0.236,0.055,-0.004
