X,Y,Z,Bx,By,Bz
34.0,155.0,-10.0,0.003,-0.093,-0.003
44.0,155.0,-10.0,0.012,-0.103,-0.011
54.0,155.0,-10.0,0.003,-0.112,-0.007
64.0,155.0,-10.0,-0.0,-0.123,-0.005
74.0,155.0,-10.0,-0.017,-0.134,0.002
84.0,155.0,-10.0,-0.002,-0.135,-0.004
94.0,155.0,-10.0,-0.006,-0.1389999999999999,-0.002
104.0,155.0,-10.0,0.005,-0.133,-0.011
114.0,155.0,-10.0,-0.01,-0.1369999999999999,-0.007
124.0,155.0,-10.0,0.003,-0.127,-0.009
134.0,155.0,-10.0,0.005,-0.119,-0.01
144.0,155.0,-10.0,-0.002,-0.1129999999999999,-0.002
154.0,155.0,-10.0,0.005,-0.105,-0.0
164.0,155.0,-10.0,-0.008,-0.097,0.005
174.0,155.0,-10.0,0.006,-0.079,-0.001
184.0,155.0,-10.0,0.016,-0.067,-0.004
194.0,155.0,-10.0,0.005,-0.058,0.004
204.0,155.0,-10.0,-0.0,-0.048,0.007
214.0,155.0,-10.0,0.014,-0.034,-0.0
224.0,155.0,-10.0,0.01,-0.024,0.001
234.0,155.0,-10.0,-0.0,-0.015,0.01
244.0,155.0,-10.0,0.018,-0.005,0.007
254.0,155.0,-10.0,0.003,0.002,0.014
264.0,155.0,-10.0,0.018,0.016,0.007
274.0,155.0,-10.0,0.008,0.025,0.015
284.0,155.0,-10.0,0.014,0.033,0.015
294.0,155.0,-10.0,0.006,0.043,0.018
304.0,155.0,-10.0,0.02,0.056,0.016
314.0,155.0,-10.0,0.004,0.0649999999999999,0.023
324.0,155.0,-10.0,0.008,0.076,0.023
334.0,155.0,-10.0,0.02,0.078,0.016
344.0,155.0,-10.0,0.01,0.077,0.02
354.0,155.0,-10.0,0.016,0.074,0.017
364.0,155.0,-10.0,0.016,0.077,0.019
374.0,155.0,-10.0,0.004,0.076,0.023
