X,Y,Z,Bx,By,Bz
34.0,223.0073525436772,-78.00735254367721,-0.053,-0.0209999999999999,-0.019
44.0,223.0073525436772,-78.00735254367721,-0.074,-0.032,-0.0209999999999999
54.0,223.0073525436772,-78.00735254367721,-0.1,-0.053,-0.016
64.0,223.0073525436772,-78.00735254367721,-0.096,-0.075,-0.017
74.0,223.0073525436772,-78.00735254367721,-0.1169999999999999,-0.111,-0.002
84.0,223.0073525436772,-78.00735254367721,-0.106,-0.143,0.005
94.0,223.0073525436772,-78.00735254367721,-0.089,-0.172,0.015
104.0,223.0073525436772,-78.00735254367721,-0.064,-0.195,0.024
114.0,223.0073525436772,-78.00735254367721,-0.028,-0.208,0.029
124.0,223.0073525436772,-78.00735254367721,-0.01,-0.218,0.038
134.0,223.0073525436772,-78.00735254367721,0.016,-0.216,0.038
144.0,223.0073525436772,-78.00735254367721,0.036,-0.203,0.038
154.0,223.0073525436772,-78.00735254367721,0.076,-0.18,0.0209999999999999
164.0,223.0073525436772,-78.00735254367721,0.089,-0.159,0.014
174.0,223.0073525436772,-78.00735254367721,0.118,-0.129,-0.002
184.0,223.0073525436772,-78.00735254367721,0.087,-0.116,-0.0
194.0,223.0073525436772,-78.00735254367721,0.097,-0.092,-0.005
204.0,223.0073525436772,-78.00735254367721,0.09,-0.077,-0.009
214.0,223.0073525436772,-78.00735254367721,0.078,-0.064,-0.006
224.0,223.0073525436772,-78.00735254367721,0.078,-0.052,-0.007
234.0,223.0073525436772,-78.00735254367721,0.063,-0.0419999999999999,-0.0
244.0,223.0073525436772,-78.00735254367721,0.063,-0.031,0.003
254.0,223.0073525436772,-78.00735254367721,0.0649999999999999,-0.023,0.004
264.0,223.0073525436772,-78.00735254367721,0.067,-0.015,0.007
274.0,223.0073525436772,-78.00735254367721,0.044,-0.008,0.0209999999999999
284.0,223.0073525436772,-78.00735254367721,0.072,0.003,0.013
294.0,223.0073525436772,-78.00735254367721,0.086,0.012,0.007
304.0,223.0073525436772,-78.00735254367721,0.076,0.017,0.017
314.0,223.0073525436772,-78.00735254367721,0.0649999999999999,0.023,0.026
324.0,223.0073525436772,-78.00735254367721,0.078,0.031,0.027
334.0,223.0073525436772,-78.00735254367721,0.076,0.031,0.026
344.0,223.0073525436772,-78.00735254367721,0.08,0.032,0.025
354.0,223.0073525436772,-78.00735254367721,0.082,0.032,0.024
364.0,223.0073525436772,-78.00735254367721,0.0649999999999999,0.029,0.032
374.0,223.0073525436772,-78.00735254367721,0.072,0.031,0.028
