X,Y,Z,Bx,By,Bz
34.0,223.0073525436772,58.007352543677214,-0.095,-0.0209999999999999,0.011
44.0,223.0073525436772,58.007352543677214,-0.131,-0.043,0.011
54.0,223.0073525436772,58.007352543677214,-0.134,-0.066,-0.005
64.0,223.0073525436772,58.007352543677214,-0.142,-0.0989999999999999,-0.02
74.0,223.0073525436772,58.007352543677214,-0.142,-0.134,-0.031
84.0,223.0073525436772,58.007352543677214,-0.112,-0.161,-0.048
94.0,223.0073525436772,58.007352543677214,-0.087,-0.188,-0.057
104.0,223.0073525436772,58.007352543677214,-0.051,-0.207,-0.063
114.0,223.0073525436772,58.007352543677214,-0.013,-0.21,-0.0649999999999999
124.0,223.0073525436772,58.007352543677214,0.016,-0.211,-0.058
134.0,223.0073525436772,58.007352543677214,0.04,-0.199,-0.044
144.0,223.0073525436772,58.007352543677214,0.091,-0.18,-0.048
154.0,223.0073525436772,58.007352543677214,0.108,-0.158,-0.032
164.0,223.0073525436772,58.007352543677214,0.122,-0.135,-0.023
174.0,223.0073525436772,58.007352543677214,0.124,-0.112,-0.013
184.0,223.0073525436772,58.007352543677214,0.11,-0.096,-0.005
194.0,223.0073525436772,58.007352543677214,0.108,-0.081,0.001
204.0,223.0073525436772,58.007352543677214,0.089,-0.072,0.01
214.0,223.0073525436772,58.007352543677214,0.093,-0.056,0.008
224.0,223.0073525436772,58.007352543677214,0.105,-0.043,0.003
234.0,223.0073525436772,58.007352543677214,0.074,-0.041,0.015
244.0,223.0073525436772,58.007352543677214,0.089,-0.027,0.008
254.0,223.0073525436772,58.007352543677214,0.093,-0.014,0.009
264.0,223.0073525436772,58.007352543677214,0.097,-0.006,0.007
274.0,223.0073525436772,58.007352543677214,0.093,0.0,0.01
284.0,223.0073525436772,58.007352543677214,0.097,0.006,0.007
294.0,223.0073525436772,58.007352543677214,0.103,0.014,0.008
304.0,223.0073525436772,58.007352543677214,0.095,0.023,0.013
314.0,223.0073525436772,58.007352543677214,0.107,0.033,0.012
324.0,223.0073525436772,58.007352543677214,0.097,0.041,0.019
334.0,223.0073525436772,58.007352543677214,0.112,0.043,0.013
344.0,223.0073525436772,58.007352543677214,0.11,0.043,0.013
354.0,223.0073525436772,58.007352543677214,0.103,0.0419999999999999,0.017
364.0,223.0073525436772,58.007352543677214,0.112,0.043,0.013
374.0,223.0073525436772,58.007352543677214,0.11,0.043,0.013
