R,Bx,By,Bz
-92.52261349061841,0.055,0.256,-0.013
-83.71093601532142,0.053,0.229,-0.008
-74.89925854002442,0.045000000000000005,0.202,-0.0
-66.08758106472743,0.048,0.175,-0.01
-57.27590358943044,0.048,0.15100000000000002,-0.019
-48.46422611413345,0.041,0.12000000000000001,-0.008
-39.652548638836464,0.032,0.091,0.007
-30.84087116353946,0.033,0.067,0.001
-22.029193688242472,0.031,0.04,-0.012
-13.217516212945483,0.031,0.014,-0.01
-4.40583873764848,0.029,-0.01,-0.015000000000000001
4.405838737648509,0.022,-0.041999999999999996,0.005
13.217516212945498,0.024,-0.066,-0.008
22.029193688242486,0.02,-0.097,0.005
30.840871163539475,0.025,-0.11699999999999999,-0.023
39.652548638836464,0.01,-0.153,0.008
48.46422611413345,0.008,-0.178,0.008
57.27590358943047,0.008,-0.202,0.001
66.08758106472746,0.001,-0.23299999999999998,0.006
74.89925854002445,0.001,-0.262,0.006
83.71093601532144,0.001,-0.28600000000000003,-0.0
92.52261349061843,-0.009000000000000001,-0.315,0.014
