R,Bx,By,Bz
-92.52261349061841,0.214,0.15100000000000002,-0.020999999999999998
-83.71093601532142,0.183,0.131,0.005
-74.89925854002442,0.16799999999999998,0.115,-0.0
-66.08758106472743,0.157,0.101,-0.008
-57.27590358943044,0.135,0.082,-0.002
-48.46422611413345,0.11699999999999999,0.064,-0.0
-39.652548638836464,0.098,0.045000000000000005,-0.0
-30.84087116353946,0.09000000000000001,0.030000000000000002,-0.015000000000000001
-22.029193688242472,0.07100000000000001,0.013,-0.006
-13.217516212945483,0.057,-0.002,-0.014
-4.40583873764848,0.034999999999999996,-0.020999999999999998,-0.008
4.405838737648509,0.020999999999999998,-0.036000000000000004,-0.01
13.217516212945498,0.001,-0.056,0.001
22.029193688242486,-0.014,-0.06999999999999999,-0.006
30.840871163539475,-0.038,-0.09000000000000001,0.008
39.652548638836464,-0.045000000000000005,-0.10500000000000001,-0.008
48.46422611413345,-0.066,-0.124,-0.004
57.27590358943047,-0.08600000000000001,-0.14100000000000001,0.007
66.08758106472746,-0.11,-0.162,0.022
74.89925854002445,-0.124,-0.178,0.01
83.71093601532144,-0.133,-0.192,0.005
92.52261349061843,-0.157,-0.211,0.012
