X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-160.0,-27.0,-63.0,0.025,0.025,-0.083
-160.0,3.0,-63.0,0.046,0.046,-0.102
-160.0,33.0,-63.0,0.078,0.078,-0.123
-160.0,63.0,-63.0,0.086,0.086,-0.145
-160.0,-27.0,-93.0,0.06899999999999999,0.06899999999999999,-0.118
-160.0,3.0,-93.0,0.09000000000000001,0.09000000000000001,-0.132
-130.0,-27.0,87.0,0.021,0.021,-0.124
-130.0,3.0,87.0,0.004,0.004,-0.15
-130.0,33.0,87.0,-0.012,-0.012,-0.183
-130.0,-57.0,57.0,0.031,0.031,-0.066
-130.0,-27.0,57.0,0.012,0.012,-0.08699999999999998
-130.0,3.0,57.0,0.018000000000000002,0.018000000000000002,-0.115
-130.0,33.0,57.0,-0.012,-0.012,-0.142
-130.0,63.0,57.0,-0.021,-0.021,-0.182
-130.0,-87.0,27.0,0.021,0.021,-0.028
-130.0,-57.0,27.0,0.014,0.014,-0.05
-130.0,-27.0,27.0,0.001,0.001,-0.07100000000000001
-130.0,3.0,27.0,-0.004,-0.004,-0.097
-130.0,33.0,27.0,-0.004,-0.004,-0.127
-130.0,63.0,27.0,-0.01,-0.01,-0.16
-130.0,-87.0,-3.0,-0.002,-0.002,-0.023
-130.0,-57.0,-3.0,0.018000000000000002,0.018000000000000002,-0.046
-130.0,-27.0,-3.0,-0.004,-0.004,-0.064
-130.0,3.0,-3.0,0.014,0.014,-0.09300000000000001
-130.0,33.0,-3.0,0.008,0.008,-0.121
-130.0,63.0,-3.0,0.012,0.012,-0.158
-130.0,-87.0,-33.0,-0.019,-0.019,-0.032
-130.0,-57.0,-33.0,-0.012,-0.012,-0.05
-130.0,-27.0,-33.0,0.008,0.008,-0.07399999999999998
-130.0,3.0,-33.0,-0.0,-0.0,-0.097
-130.0,33.0,-33.0,0.008,0.008,-0.127
-130.0,63.0,-33.0,0.006,0.006,-0.162
-130.0,-57.0,-63.0,-0.019,-0.019,-0.07299999999999998
-130.0,-27.0,-63.0,-0.012,-0.012,-0.094
-130.0,3.0,-63.0,0.012,0.012,-0.121
-130.0,33.0,-63.0,0.02,0.02,-0.154
-130.0,63.0,-63.0,0.04,0.04,-0.195
-130.0,-27.0,-93.0,-0.013,-0.013,-0.13999999999999999
-130.0,3.0,-93.0,0.003,0.003,-0.165
-100.0,-27.0,87.0,0.082,0.082,-0.091
-100.0,3.0,87.0,0.07399999999999998,0.07399999999999998,-0.126
-100.0,33.0,87.0,0.059,0.059,-0.164
-100.0,-57.0,57.0,0.055,0.055,-0.043
-100.0,-27.0,57.0,0.04,0.04,-0.07200000000000001
-100.0,3.0,57.0,0.037,0.037,-0.102
-100.0,33.0,57.0,0.025,0.025,-0.13799999999999998
-100.0,63.0,57.0,0.031,0.031,-0.179
-100.0,-87.0,27.0,0.04,0.04,-0.004
-100.0,-57.0,27.0,0.033,0.033,-0.03
-100.0,-27.0,27.0,0.014,0.014,-0.057
