x,y,z
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,-0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,0.0,-0.0
-5.0,1.0,0.0
-5.0,0.9950041652780258,0.09983341664682815
-5.0,0.9800665778412416,0.19866933079506122
-5.0,0.955336489125606,0.2955202066613396
-5.0,0.9210609940028851,0.3894183423086505
-5.0,0.8775825618903728,0.479425538604203
-5.0,0.8253356149096782,0.5646424733950355
-5.0,0.7648421872844884,0.6442176872376911
-5.0,0.6967067093471654,0.7173560908995228
-5.0,0.6216099682706644,0.7833269096274834
-5.0,0.5403023058681398,0.8414709848078965
-5.0,0.4535961214255773,0.8912073600614354
-5.0,0.3623577544766734,0.9320390859672264
-5.0,0.26749882862458735,0.963558185417193
-5.0,0.16996714290024081,0.9854497299884603
-5.0,0.0707372016677029,0.9974949866040544
-5.0,-0.029199522301288815,0.9995736030415051
-5.0,-0.12884449429552486,0.9916648104524686
-5.0,-0.2272020946930871,0.9738476308781951
-5.0,-0.3232895668635036,0.9463000876874145
-5.0,-0.4161468365471424,0.9092974268256817
-5.0,-0.5048461045998576,0.8632093666488737
-5.0,-0.5885011172553458,0.8084964038195901
-5.0,-0.6662760212798244,0.74570521217672
-5.0,-0.7373937155412458,0.6754631805511506
-5.0,-0.8011436155469337,0.5984721441039565
-5.0,-0.8568887533689473,0.5155013718214642
-5.0,-0.9040721420170612,0.4273798802338298
-5.0,-0.9422223406686583,0.33498815015590466
-5.0,-0.9709581651495907,0.23924932921398198
-5.0,-0.9899924966004454,0.1411200080598672
-5.0,-0.9991351502732795,0.04158066243329049
-5.0,-0.9982947757947531,-0.058374143427580086
-5.0,-0.9874797699088649,-0.15774569414324865
-5.0,-0.9667981925794609,-0.25554110202683167
-5.0,-0.9364566872907963,-0.35078322768961984
-5.0,-0.896758416334147,-0.44252044329485246
-5.0,-0.848100031710408,-0.5298361409084934
-5.0,-0.7909677119144165,-0.6118578909427193
-5.0,-0.7259323042001399,-0.6877661591839741
-5.0,-0.6536436208636119,-0.7568024953079282
-5.0,-0.5748239465332685,-0.8182771110644108
-5.0,-0.4902608213406994,-0.8715757724135882
-5.0,-0.40079917207997545,-0.9161659367494549
