R,Bx,By,Bz
95.0387930057036,-0.008,-0.1169999999999999,0.2489999999999999
85.98747938611278,0.007,-0.107,0.223
76.93616576652195,0.001,-0.097,0.203
67.88485214693114,-0.008,-0.087,0.185
58.83353852734032,-0.0,-0.075,0.159
49.78222490774951,-0.013,-0.066,0.146
40.73091128815869,-0.017,-0.056,0.125
31.679597668567865,-0.008,-0.043,0.102
22.62828404897705,-0.008,-0.032,0.079
13.576970429386236,-0.0,-0.02,0.057
4.525656809795407,0.001,-0.008,0.033
-4.525656809795407,-0.015,0.0,0.022
-13.576970429386222,-0.002,0.012,-0.006
-22.62828404897704,-0.012,0.0209999999999999,-0.0209999999999999
-31.67959766856785,-0.015,0.032,-0.0419999999999999
-40.730911288158666,-0.012,0.043,-0.066
-49.78222490774948,-0.01,0.055,-0.086
-58.83353852734032,-0.008,0.066,-0.106
-67.88485214693114,-0.0,0.079,-0.136
-76.93616576652195,-0.01,0.088,-0.15
-85.98747938611277,0.003,0.101,-0.173
-95.03879300570358,-0.008,0.11,-0.191
