R,Bx,By,Bz
95.0387930057036,-0.015,0.041,0.299
85.98747938611278,-0.015,0.037,0.2759999999999999
76.93616576652195,-0.008,0.034,0.248
67.88485214693114,-0.006,0.031,0.219
58.83353852734032,-0.015,0.022,0.196
49.78222490774951,-0.015,0.018,0.174
40.73091128815869,-0.006,0.016,0.145
31.679597668567865,-0.006,0.008,0.118
22.62828404897705,-0.023,0.002,0.0989999999999999
13.576970429386236,-0.017,0.0,0.0699999999999999
4.525656809795407,-0.004,-0.005,0.038
-4.525656809795407,-0.01,-0.01,0.017
-13.576970429386222,-0.006,-0.013,-0.008
-22.62828404897704,-0.015,-0.019,-0.028
-31.67959766856785,-0.0,-0.02,-0.06
-40.730911288158666,-0.0,-0.028,-0.088
-49.78222490774948,-0.004,-0.032,-0.109
-58.83353852734032,0.003,-0.034,-0.141
-67.88485214693114,-0.002,-0.039,-0.163
-76.93616576652195,-0.014,-0.049,-0.185
-85.98747938611277,0.001,-0.049,-0.214
-95.03879300570358,-0.004,-0.055,-0.236
