R,Bx,By,Bz
95.0387930057036,-0.008,0.182,0.185
85.98747938611278,-0.006,0.164,0.173
76.93616576652195,-0.011,0.144,0.158
67.88485214693114,-0.025,0.123,0.148
58.83353852734032,-0.002,0.108,0.124
49.78222490774951,-0.01,0.089,0.112
40.73091128815869,-0.006,0.075,0.095
31.679597668567865,-0.017,0.054,0.085
22.62828404897705,-0.0209999999999999,0.032,0.074
13.576970429386236,-0.011,0.018,0.056
4.525656809795407,-0.006,0.005,0.0349999999999999
-4.525656809795407,-0.011,-0.014,0.022
-13.576970429386222,-0.01,-0.032,0.006
-22.62828404897704,-0.01,-0.05,-0.008
-31.67959766856785,0.003,-0.066,-0.029
-40.730911288158666,-0.002,-0.083,-0.036
-49.78222490774948,-0.008,-0.102,-0.049
-58.83353852734032,-0.002,-0.119,-0.0699999999999999
-67.88485214693114,0.001,-0.1369999999999999,-0.083
-76.93616576652195,-0.0,-0.156,-0.102
-85.98747938611277,-0.002,-0.175,-0.112
-95.03879300570358,-0.01,-0.194,-0.124
