R,Bx,By,Bz
-92.5226134906184,-0.011,0.052,0.263
-83.71093601532142,0.001,0.054,0.236
-74.89925854002442,-0.01,0.049,0.216
-66.08758106472743,-0.01,0.045,0.192
-57.27590358943044,0.007,0.048,0.165
-48.46422611413345,-0.011,0.041,0.147
-39.652548638836464,0.012,0.045,0.1129999999999999
-30.84087116353946,-0.008,0.037,0.102
-22.029193688242472,-0.012,0.032,0.0839999999999999
-13.217516212945483,0.001,0.0349999999999999,0.056
-4.40583873764848,-0.008,0.029,0.037
4.405838737648509,0.01,0.029,0.006
13.217516212945498,-0.002,0.027,-0.006
22.029193688242486,-0.0,0.023,-0.028
30.840871163539475,-0.006,0.022,-0.044
39.652548638836464,0.001,0.019,-0.0699999999999999
48.46422611413345,-0.0,0.015,-0.09
57.27590358943047,0.007,0.013,-0.118
66.08758106472746,0.005,0.012,-0.135
74.89925854002445,0.012,0.01,-0.161
83.71093601532144,0.018,0.007,-0.186
92.52261349061844,0.016,0.003,-0.208
