R,Bx,By,Bz
92.5226134906184,-0.013,-0.256,0.055
83.71093601532142,-0.008,-0.229,0.053
74.89925854002442,-0.0,-0.202,0.045
66.08758106472743,-0.01,-0.175,0.048
57.27590358943044,-0.019,-0.151,0.048
48.46422611413345,-0.008,-0.12,0.041
39.652548638836464,0.007,-0.091,0.032
30.84087116353946,0.001,-0.067,0.033
22.029193688242472,-0.012,-0.04,0.031
13.217516212945483,-0.01,-0.014,0.031
4.40583873764848,-0.015,0.01,0.029
-4.405838737648509,0.005,0.0419999999999999,0.022
-13.217516212945498,-0.008,0.066,0.024
-22.029193688242486,0.005,0.097,0.02
-30.840871163539475,-0.023,0.1169999999999999,0.025
-39.652548638836464,0.008,0.153,0.01
-48.46422611413345,0.008,0.178,0.008
-57.27590358943047,0.001,0.202,0.008
-66.08758106472746,0.006,0.2329999999999999,0.001
-74.89925854002445,0.006,0.262,0.001
-83.71093601532144,-0.0,0.286,0.001
-92.52261349061844,0.014,0.315,-0.009
