R,Bx,By,Bz
92.5226134906184,-0.0209999999999999,-0.151,0.214
83.71093601532142,0.005,-0.131,0.183
74.89925854002442,-0.0,-0.115,0.1679999999999999
66.08758106472743,-0.008,-0.101,0.157
57.27590358943044,-0.002,-0.082,0.135
48.46422611413345,-0.0,-0.064,0.1169999999999999
39.652548638836464,-0.0,-0.045,0.098
30.84087116353946,-0.015,-0.03,0.09
22.029193688242472,-0.006,-0.013,0.071
13.217516212945483,-0.014,0.002,0.057
4.40583873764848,-0.008,0.0209999999999999,0.0349999999999999
-4.405838737648509,-0.01,0.036,0.0209999999999999
-13.217516212945498,0.001,0.056,0.001
-22.029193688242486,-0.006,0.0699999999999999,-0.014
-30.840871163539475,0.008,0.09,-0.038
-39.652548638836464,-0.008,0.105,-0.045
-48.46422611413345,-0.004,0.124,-0.066
-57.27590358943047,0.007,0.141,-0.086
-66.08758106472746,0.022,0.162,-0.11
-74.89925854002445,0.01,0.178,-0.124
-83.71093601532144,0.005,0.192,-0.133
-92.52261349061844,0.012,0.211,-0.157
