R,Bx,By,Bz
-120.57494548699344,0.503,-0.055,-7.736
-109.09161734537503,0.416,-0.073,-6.911
-97.6082892037566,0.36200000000000004,-0.077,-6.3
-86.12496106213817,0.318,-0.074,-5.844
-74.64163292051975,0.28400000000000003,-0.073,-5.505999999999999
-63.15830477890134,0.273,-0.064,-5.255
-51.67497663728291,0.256,-0.061,-5.071
-40.19164849566448,0.254,-0.060000000000000005,-4.944
-28.708320354046066,0.248,-0.064,-4.8580000000000005
-17.22499221242765,0.25,-0.066,-4.819
-5.7416640708092075,0.241,-0.075,-4.8069999999999995
5.7416640708092075,0.25,-0.085,-4.838
17.224992212427622,0.24600000000000002,-0.101,-4.891
28.708320354046037,0.256,-0.118,-4.9959999999999996
40.19164849566445,0.263,-0.13699999999999998,-5.132000000000001
51.674976637282896,0.26899999999999996,-0.16,-5.319
63.15830477890131,0.294,-0.187,-5.5729999999999995
74.64163292051973,0.32,-0.216,-5.904000000000001
86.12496106213817,0.333,-0.259,-6.3309999999999995
97.60828920375658,0.36900000000000005,-0.31,-6.919
109.091617345375,0.432,-0.382,-7.729
