R,Bx,By,Bz
-120.57494548699344,-1.25,0.45,-8.35
-109.09161734537503,-0.866,0.337,-7.438000000000001
-97.6082892037566,-0.594,0.256,-6.747999999999999
-86.12496106213817,-0.393,0.19,-6.216
-74.64163292051975,-0.257,0.126,-5.8
-63.15830477890134,-0.14400000000000002,0.081,-5.484
-51.67497663728291,-0.046,0.046,-5.244000000000001
-40.19164849566448,0.038,0.014,-5.072
-28.708320354046066,0.097,-0.016,-4.9399999999999995
-17.22499221242765,0.165,-0.041,-4.867
-5.7416640708092075,0.22,-0.067,-4.825
5.7416640708092075,0.28200000000000003,-0.087,-4.832000000000001
17.224992212427622,0.324,-0.111,-4.866
28.708320354046037,0.377,-0.134,-4.947
40.19164849566445,0.431,-0.153,-5.074999999999999
51.674976637282896,0.528,-0.166,-5.268
63.15830477890131,0.5770000000000001,-0.19699999999999998,-5.5040000000000004
74.64163292051973,0.6769999999999999,-0.216,-5.831
86.12496106213817,0.777,-0.248,-6.2509999999999994
97.60828920375658,0.911,-0.27799999999999997,-6.795
109.091617345375,1.1039999999999999,-0.305,-7.513
120.57494548699341,1.3439999999999999,-0.32699999999999996,-8.463
