R,Bx,By,Bz
-93.16306537809203,0.004,-0.162,-0.186
-84.29039248494041,0.004,-0.155,-0.164
-75.4177195917888,0.004,-0.14400000000000002,-0.14100000000000001
-66.54504669863718,-0.002,-0.134,-0.115
-57.67237380548555,-0.004,-0.127,-0.091
-48.79970091233393,-0.016,-0.11699999999999999,-0.06499999999999999
-39.9270280191823,0.003,-0.103,-0.053
-31.054355126030686,-0.002,-0.096,-0.026
-22.18168223287907,0.006,-0.08399999999999999,-0.009000000000000001
-13.309009339727439,-0.014,-0.076,0.02
-4.436336446575822,-0.008,-0.068,0.037
4.436336446575808,0.008,-0.054,0.052
13.309009339727425,0.01,-0.041999999999999996,0.06999999999999999
22.18168223287904,-0.004,-0.037,0.098
31.054355126030657,0.003,-0.025,0.121
39.9270280191823,-0.016,-0.017,0.148
48.79970091233392,0.003,-0.006,0.162
57.672373805485535,-0.002,0.003,0.18000000000000002
66.54504669863715,-0.002,0.011,0.205
75.41771959178877,-0.004,0.020999999999999998,0.228
84.29039248494038,-0.006,0.033,0.25
93.16306537809203,-0.027,0.039,0.281
