R,Bx,By,Bz
-93.16306537809203,-0.017,-0.277,-0.009000000000000001
-84.29039248494041,-0.025,-0.261,0.003
-75.4177195917888,-0.014,-0.237,0.002
-66.54504669863718,-0.014,-0.215,0.006
-57.67237380548555,-0.017,-0.196,0.013
-48.79970091233393,-0.012,-0.174,0.016
-39.9270280191823,-0.006,-0.15100000000000002,0.020999999999999998
-31.054355126030686,-0.006,-0.132,0.025
-22.18168223287907,-0.006,-0.111,0.030000000000000002
-13.309009339727439,-0.012,-0.094,0.04
-4.436336446575822,-0.0,-0.073,0.043000000000000003
4.436336446575808,-0.017,-0.054,0.058
13.309009339727425,-0.01,-0.032,0.056
22.18168223287904,-0.006,-0.009000000000000001,0.062
31.054355126030657,-0.002,0.009000000000000001,0.064
39.9270280191823,-0.0,0.032,0.067
48.79970091233392,0.01,0.052,0.068
57.672373805485535,0.006,0.073,0.077
66.54504669863715,-0.016,0.087,0.095
75.41771959178877,0.008,0.114,0.087
84.29039248494038,-0.006,0.133,0.098
93.16306537809203,0.008,0.157,0.097
