R,Bx,By,Bz
-90.42897363164118,0.01,-0.053,-0.275
-81.81669042862774,0.012,-0.055,-0.255
-73.2044072256143,0.01,-0.052,-0.231
-64.59212402260086,0.022,-0.05,-0.213
-55.97984081958741,-0.0,-0.053,-0.182
-47.36755761657396,0.014,-0.05,-0.166
-38.755274413560514,0.004,-0.049,-0.135
-30.142991210547066,0.001,-0.049,-0.116
-21.530708007533633,0.01,-0.047,-0.094
-12.918424804520185,0.006,-0.047,-0.074
-4.306141601506738,-0.008,-0.047,-0.044
4.3061416015067095,0.004,-0.044,-0.027
12.918424804520157,-0.012,-0.047,-0.001
21.530708007533605,0.012,-0.041999999999999996,0.012
30.142991210547052,-0.004,-0.041999999999999996,0.043000000000000003
38.7552744135605,0.006,-0.039,0.060000000000000005
47.36755761657395,-0.01,-0.041999999999999996,0.089
55.979840819587395,-0.0,-0.036000000000000004,0.103
64.59212402260084,-0.017,-0.039,0.136
73.20440722561429,-0.019,-0.039,0.16
81.81669042862771,-0.019,-0.039,0.177
90.42897363164116,-0.025,-0.04,0.206
